Concentration A,Concentration B,Concentration C
0.206,0.071,0.723
0.19,0.177,0.633
0.149,0.163,0.688
0.061,0.106,0.833
0.186,0.102,0.712
0.161,0.126,0.713
0.153,0.164,0.683
0.116,0.163,0.721
0.148,0.019,0.833
0.155,0.109,0.736
0.093,0.184,0.723
0.122,0.157,0.721
0.03,0.06,0.91
0.03,0.081,0.889
0.068,0.159,0.773
0.034,0.163,0.803
0.074,0.128,0.798
0.204,0.19,0.606
0.17,0.08,0.75
0.109,0.038,0.853
0.091,0.22,0.689
0.145,0.125,0.73
0.018,0.208,0.774
0.192,0.116,0.692
0.165,0.133,0.702
0.03,0.055,0.915
0.04,0.072,0.888
0.147,0.127,0.726
0.097,0.031,0.872
0.073,0.208,0.719
0.081,0.164,0.755
0.036,0.031,0.933
0.013,0.109,0.878
0.201,0.065,0.734
0.169,0.136,0.695
0.085,0.065,0.85
0.052,0.216,0.732
0.16,0.138,0.702
0.082,0.038,0.88
0.18,0.108,0.712
0.196,0.122,0.682
0.169,0.197,0.634
0.09,0.125,0.785
0.173,0.111,0.716
0.047,0.094,0.859
0.167,0.03,0.803
0.028,0.087,0.885
0.196,0.085,0.719
0.111,0.178,0.711
0.101,0.012,0.887
0.214,0.21,0.576
0.164,0.04,0.796
0.082,0.011,0.907
0.15,0.101,0.749
0.119,0.115,0.766
0.2,0.157,0.643
0.104,0.129,0.767
0.185,0.052,0.763
0.191,0.129,0.68
0.115,0.179,0.706
0.193,0.155,0.652
0.13,0.06,0.81
0.065,0.044,0.891
0.023,0.17,0.807
0.174,0.012,0.814
0.058,0.193,0.749
0.032,0.201,0.767
0.126,0.208,0.666
0.028,0.166,0.806
0.21,0.101,0.689
0.023,0.182,0.795
0.185,0.129,0.686
0.121,0.189,0.69
0.135,0.119,0.746
0.198,0.083,0.719
0.086,0.023,0.891
0.178,0.087,0.735
0.22,0.18,0.6
0.035,0.097,0.868
0.181,0.2,0.619
0.13,0.179,0.691
0.033,0.032,0.935
0.084,0.025,0.891
0.069,0.151,0.78
0.196,0.183,0.621
0.052,0.191,0.757
0.077,0.208,0.715
0.096,0.067,0.837
0.133,0.181,0.686
0.049,0.014,0.937
0.208,0.037,0.755
0.037,0.128,0.835
0.136,0.011,0.853
0.016,0.089,0.895
0.207,0.187,0.606
0.147,0.148,0.705
0.079,0.12,0.801
0.099,0.138,0.763
0.07,0.038,0.892
0.166,0.171,0.663
0.155,0.14,0.705
0.199,0.157,0.644
0.073,0.072,0.855
0.126,0.137,0.737
0.1,0.082,0.818
0.048,0.15,0.802
0.041,0.113,0.846
0.138,0.184,0.678
0.156,0.218,0.626
0.133,0.06,0.807
0.088,0.078,0.834
0.111,0.05,0.839
0.159,0.065,0.776
0.103,0.084,0.813
0.168,0.175,0.657
0.2,0.046,0.754
0.134,0.197,0.669
0.081,0.112,0.807
0.115,0.188,0.697
0.145,0.118,0.737
0.162,0.109,0.729
0.117,0.056,0.827
0.029,0.052,0.919
0.15,0.025,0.825
0.153,0.191,0.656
0.178,0.104,0.718
0.123,0.176,0.701
0.054,0.099,0.847
0.149,0.207,0.644
0.052,0.168,0.78
0.161,0.071,0.768
0.106,0.068,0.826
0.046,0.072,0.882
0.055,0.024,0.921
0.036,0.16,0.804
0.172,0.013,0.815
0.019,0.057,0.924
0.033,0.175,0.792
0.091,0.026,0.883
0.04,0.022,0.938
0.115,0.131,0.754
0.135,0.187,0.678
0.035,0.194,0.771
0.191,0.185,0.624
0.051,0.103,0.846
0.138,0.188,0.674
0.155,0.091,0.754
0.119,0.05,0.831
0.107,0.052,0.841
0.1,0.159,0.741
0.201,0.046,0.753
0.014,0.141,0.845
0.068,0.175,0.757
0.034,0.195,0.771
0.079,0.201,0.72
0.184,0.096,0.72
0.107,0.106,0.787
0.159,0.063,0.778
0.107,0.013,0.88
0.104,0.131,0.765
0.169,0.199,0.632
0.071,0.11,0.819
0.153,0.11,0.737
0.112,0.04,0.848
0.023,0.048,0.929
0.197,0.092,0.711
0.076,0.212,0.712
0.14,0.208,0.652
0.193,0.134,0.673
0.135,0.152,0.713
0.096,0.056,0.848
0.134,0.136,0.73
0.054,0.036,0.91
0.059,0.157,0.784
0.031,0.068,0.901
0.041,0.079,0.88
0.21,0.113,0.677
0.051,0.049,0.9
0.14,0.06,0.8
0.159,0.185,0.656
0.187,0.061,0.752
0.037,0.048,0.915
0.024,0.098,0.878
0.036,0.098,0.866
0.185,0.057,0.758
0.124,0.122,0.754
0.045,0.103,0.852
0.159,0.136,0.705
0.191,0.03,0.779
0.138,0.045,0.817
0.182,0.148,0.67
0.218,0.093,0.689
0.205,0.218,0.577
0.154,0.165,0.681
0.05,0.204,0.746
0.188,0.12,0.692
0.185,0.115,0.7
0.173,0.094,0.733
0.095,0.136,0.769
0.199,0.117,0.684
0.207,0.051,0.742
0.035,0.166,0.799
0.115,0.2,0.685
0.098,0.012,0.89
0.083,0.17,0.747
0.116,0.106,0.778
0.099,0.079,0.822
0.065,0.218,0.717
0.047,0.038,0.915
0.092,0.165,0.743
0.09,0.194,0.716
0.101,0.112,0.787
0.108,0.024,0.868
0.197,0.126,0.677
0.102,0.126,0.772
0.121,0.169,0.71
0.066,0.073,0.861
0.139,0.023,0.838
0.216,0.204,0.58
0.026,0.146,0.828
0.144,0.1,0.756
0.084,0.076,0.84
0.052,0.182,0.766
0.035,0.153,0.812
0.084,0.023,0.893
0.052,0.17,0.778
0.212,0.031,0.757
0.074,0.098,0.828
0.175,0.144,0.681
0.177,0.181,0.642
0.174,0.087,0.739
0.128,0.153,0.719
0.091,0.053,0.856
0.159,0.175,0.666
0.131,0.043,0.826
0.065,0.133,0.802
0.121,0.133,0.746
0.101,0.202,0.697
0.06,0.167,0.773
0.049,0.108,0.843
0.138,0.139,0.723
0.026,0.037,0.937
0.152,0.042,0.806
0.069,0.187,0.744
0.046,0.041,0.913
0.08,0.142,0.778
0.071,0.031,0.898
0.175,0.206,0.619
0.216,0.049,0.735
0.209,0.152,0.639
0.125,0.108,0.767
0.123,0.098,0.779
0.114,0.147,0.739
0.162,0.153,0.685
0.094,0.213,0.693
0.122,0.08,0.798
0.169,0.151,0.68
0.125,0.12,0.755
0.132,0.208,0.66
0.058,0.041,0.901
0.172,0.151,0.677
0.176,0.112,0.712
0.163,0.024,0.813
0.069,0.17,0.761
0.175,0.099,0.726
0.07,0.133,0.797
0.065,0.153,0.782
0.027,0.134,0.839
0.183,0.111,0.706
0.04,0.184,0.776
0.161,0.207,0.632
0.157,0.031,0.812
0.037,0.08,0.883
0.049,0.05,0.901
0.054,0.146,0.8
0.165,0.101,0.734
0.212,0.178,0.61
0.15,0.134,0.716
0.198,0.05,0.752
0.082,0.051,0.867
0.156,0.109,0.735
0.205,0.197,0.598
0.142,0.048,0.81
0.073,0.196,0.731
0.175,0.169,0.656
0.158,0.201,0.641
0.105,0.077,0.818
0.138,0.078,0.784
0.168,0.046,0.786
0.105,0.142,0.753
0.189,0.045,0.766
0.038,0.157,0.805
0.198,0.113,0.689
0.171,0.033,0.796
0.108,0.118,0.774
0.027,0.162,0.811
0.064,0.197,0.739
0.063,0.199,0.738
0.065,0.188,0.747
0.183,0.114,0.703
0.081,0.064,0.855
0.033,0.198,0.769
0.14,0.051,0.809
0.08,0.096,0.824
0.083,0.04,0.877
0.174,0.011,0.815
0.206,0.179,0.615
0.135,0.185,0.68
0.176,0.042,0.782
0.019,0.164,0.817
0.136,0.123,0.741
0.179,0.115,0.706
0.124,0.143,0.733
0.211,0.113,0.676
0.077,0.052,0.871
0.153,0.025,0.822
0.099,0.2,0.701
0.169,0.14,0.691
0.125,0.044,0.831
0.186,0.11,0.704
0.085,0.047,0.868
0.204,0.171,0.625
0.067,0.108,0.825
0.097,0.041,0.862
0.204,0.181,0.615
0.022,0.141,0.837
0.061,0.139,0.8
0.022,0.219,0.759
0.099,0.062,0.839
0.192,0.165,0.643
0.176,0.121,0.703
0.141,0.058,0.801
0.188,0.148,0.664
0.068,0.021,0.911
0.066,0.194,0.74
0.218,0.034,0.748
0.195,0.077,0.728
0.016,0.084,0.9
0.039,0.102,0.859
0.22,0.017,0.763
0.039,0.216,0.745
0.024,0.107,0.869
0.193,0.149,0.658
0.19,0.079,0.731
0.202,0.121,0.677
0.095,0.074,0.831
0.155,0.145,0.7
0.038,0.128,0.834
0.064,0.129,0.807
0.122,0.08,0.798
0.208,0.129,0.663
0.068,0.047,0.885
0.189,0.097,0.714
0.056,0.014,0.93
0.195,0.205,0.6
0.177,0.033,0.79
0.144,0.068,0.788
0.174,0.2,0.626
0.012,0.183,0.805
0.124,0.043,0.833
0.122,0.018,0.86
0.021,0.22,0.759
0.109,0.153,0.738
0.2,0.076,0.724
0.094,0.06,0.846
0.057,0.178,0.765
0.122,0.058,0.82
0.035,0.17,0.795
0.146,0.054,0.8
0.085,0.104,0.811
0.099,0.015,0.886
0.19,0.153,0.657
0.112,0.186,0.702
0.208,0.181,0.611
0.051,0.028,0.921
0.105,0.056,0.839
0.126,0.135,0.739
0.026,0.077,0.897
0.151,0.212,0.637
0.121,0.118,0.761
0.017,0.18,0.803
0.145,0.156,0.699
0.073,0.13,0.797
0.182,0.029,0.789
0.204,0.09,0.706
0.104,0.09,0.806
0.17,0.013,0.817
0.193,0.119,0.688
0.191,0.044,0.765
0.101,0.184,0.715
0.037,0.179,0.784
0.101,0.04,0.859
0.201,0.167,0.632
0.101,0.092,0.807
0.168,0.202,0.63
0.079,0.104,0.817
0.058,0.203,0.739
0.171,0.177,0.652
0.184,0.1,0.716
0.192,0.037,0.771
0.183,0.155,0.662
0.136,0.14,0.724
0.078,0.034,0.888
0.041,0.182,0.777
0.117,0.083,0.8
0.165,0.036,0.799
0.203,0.188,0.609
0.141,0.046,0.813
0.191,0.199,0.61
0.157,0.106,0.737
0.175,0.108,0.717
0.175,0.093,0.732
0.095,0.137,0.768
0.024,0.158,0.818
0.186,0.207,0.607
0.129,0.068,0.803
0.068,0.034,0.898
0.03,0.079,0.891
0.078,0.077,0.845
0.114,0.165,0.721
0.075,0.085,0.84
0.182,0.191,0.627
0.18,0.05,0.77
0.038,0.212,0.75
0.141,0.107,0.752
0.058,0.156,0.786
0.185,0.063,0.752
0.187,0.103,0.71
0.047,0.076,0.877
0.186,0.139,0.675
0.203,0.208,0.589
0.22,0.095,0.685
0.17,0.041,0.789
0.201,0.195,0.604
0.197,0.017,0.786
0.153,0.176,0.671
0.187,0.072,0.741
0.024,0.073,0.903
0.136,0.087,0.777
0.126,0.035,0.839
0.122,0.052,0.826
0.044,0.147,0.809
0.069,0.133,0.798
0.13,0.093,0.777
0.188,0.144,0.668
0.079,0.03,0.891
0.112,0.03,0.858
0.141,0.062,0.797
0.058,0.019,0.923
0.079,0.071,0.85
0.042,0.19,0.768
0.063,0.121,0.816
0.139,0.07,0.791
0.076,0.136,0.788
0.046,0.193,0.761
0.092,0.129,0.779
0.087,0.169,0.744
0.081,0.101,0.818
0.101,0.06,0.839
0.072,0.08,0.848
0.056,0.085,0.859
0.054,0.03,0.916
0.028,0.079,0.893
0.186,0.024,0.79
0.214,0.06,0.726
0.031,0.075,0.894
0.12,0.029,0.851
0.1,0.203,0.697
0.057,0.15,0.793
0.192,0.196,0.612
0.139,0.105,0.756
0.072,0.115,0.813
0.078,0.089,0.833
0.13,0.105,0.765
0.091,0.089,0.82
0.049,0.164,0.787
0.107,0.043,0.85
0.025,0.109,0.866
0.185,0.147,0.668
0.011,0.068,0.921
0.215,0.142,0.643
0.17,0.139,0.691
0.072,0.05,0.878
0.044,0.106,0.85
0.029,0.14,0.831
0.143,0.025,0.832
0.128,0.157,0.715
0.164,0.062,0.774
0.149,0.089,0.762
0.127,0.042,0.831
0.066,0.094,0.84
0.032,0.134,0.834
0.127,0.158,0.715
0.199,0.017,0.784
0.07,0.022,0.908
0.162,0.037,0.801
0.143,0.173,0.684
0.184,0.115,0.701
0.132,0.157,0.711
0.051,0.182,0.767
0.068,0.08,0.852
0.041,0.049,0.91
0.035,0.124,0.841
0.184,0.139,0.677
0.031,0.092,0.877
0.192,0.089,0.719
0.073,0.058,0.869
0.035,0.134,0.831
0.201,0.061,0.738
0.048,0.068,0.884
0.112,0.032,0.856
0.137,0.156,0.707
0.155,0.182,0.663
0.088,0.086,0.826
0.178,0.18,0.642
0.077,0.118,0.805
0.042,0.069,0.889
0.145,0.075,0.78
0.076,0.069,0.855
0.093,0.095,0.812
0.192,0.059,0.749
0.126,0.152,0.722
0.085,0.111,0.804
0.178,0.141,0.681
0.016,0.064,0.92
0.107,0.023,0.87
0.197,0.022,0.781
0.063,0.073,0.864
0.147,0.202,0.651
0.081,0.146,0.773
0.016,0.123,0.861
0.193,0.05,0.757
0.134,0.02,0.846
0.168,0.058,0.774
0.13,0.214,0.656
0.169,0.138,0.693
0.205,0.06,0.735
0.117,0.052,0.831
0.031,0.22,0.749
0.042,0.151,0.807
0.136,0.159,0.705
0.057,0.024,0.919
0.09,0.059,0.851
0.171,0.158,0.671
0.076,0.021,0.903
0.027,0.143,0.83
0.149,0.155,0.696
0.026,0.034,0.94
0.138,0.217,0.645
0.18,0.037,0.783
0.094,0.166,0.74
0.136,0.111,0.753
0.16,0.201,0.639
0.105,0.133,0.762
0.155,0.116,0.729
0.154,0.142,0.704
0.019,0.108,0.873
0.061,0.105,0.834
0.072,0.046,0.882
0.168,0.076,0.756
0.201,0.025,0.774
0.106,0.09,0.804
0.11,0.156,0.734
0.022,0.15,0.828
0.098,0.091,0.811
0.104,0.093,0.803
0.069,0.108,0.823
0.163,0.189,0.648
0.197,0.064,0.739
0.131,0.207,0.662
0.148,0.045,0.807
0.102,0.044,0.854
0.076,0.158,0.766
0.194,0.088,0.718
0.173,0.033,0.794
0.023,0.206,0.771
0.177,0.147,0.676
0.132,0.041,0.827
0.064,0.125,0.811
0.062,0.163,0.775
0.076,0.187,0.737
0.156,0.164,0.68
0.074,0.026,0.9
0.027,0.191,0.782
0.182,0.093,0.725
0.156,0.101,0.743
0.129,0.137,0.734
0.129,0.203,0.668
0.092,0.043,0.865
0.105,0.122,0.773
0.046,0.043,0.911
0.022,0.202,0.776
0.083,0.029,0.888
0.118,0.059,0.823
0.059,0.15,0.791
0.07,0.112,0.818
0.07,0.199,0.731
0.143,0.157,0.7
0.087,0.081,0.832
0.163,0.164,0.673
0.053,0.055,0.892
0.09,0.099,0.811
0.143,0.081,0.776
0.038,0.059,0.903
0.149,0.162,0.689
0.22,0.052,0.728
0.209,0.088,0.703
0.12,0.036,0.844
0.16,0.142,0.698
0.143,0.087,0.77
0.045,0.151,0.804
0.157,0.186,0.657
0.014,0.152,0.834
0.083,0.21,0.707
0.186,0.046,0.768
0.045,0.159,0.796
0.17,0.086,0.744
0.05,0.14,0.81
0.109,0.17,0.721
0.091,0.042,0.867
0.056,0.113,0.831
0.117,0.05,0.833
0.135,0.06,0.805
0.068,0.132,0.8
0.127,0.082,0.791
0.044,0.172,0.784
0.167,0.094,0.739
0.127,0.149,0.724
0.198,0.085,0.717
0.133,0.12,0.747
0.032,0.066,0.902
0.063,0.11,0.827
0.04,0.205,0.755
0.075,0.153,0.772
0.207,0.19,0.603
0.042,0.023,0.935
0.156,0.189,0.655
0.127,0.185,0.688
0.142,0.088,0.77
0.159,0.071,0.77
0.171,0.125,0.704
0.143,0.138,0.719
0.099,0.028,0.873
0.129,0.051,0.82
0.107,0.189,0.704
0.123,0.012,0.865
0.039,0.192,0.769
0.177,0.065,0.758
0.076,0.183,0.741
0.168,0.147,0.685
0.085,0.046,0.869
0.058,0.067,0.875
0.17,0.053,0.777
0.118,0.17,0.712
0.089,0.097,0.814
0.097,0.072,0.831
0.143,0.072,0.785
0.168,0.034,0.798
0.195,0.208,0.597
0.214,0.155,0.631
0.152,0.123,0.725
0.045,0.155,0.8
0.122,0.147,0.731
0.206,0.023,0.771
0.153,0.181,0.666
0.13,0.035,0.835
0.181,0.143,0.676
0.176,0.139,0.685
0.148,0.195,0.657
0.127,0.214,0.659
0.076,0.167,0.757
0.102,0.072,0.826
0.055,0.051,0.894
0.109,0.102,0.789
0.023,0.096,0.881
0.054,0.167,0.779
0.181,0.04,0.779
0.16,0.119,0.721
0.201,0.089,0.71
0.189,0.146,0.665
0.193,0.019,0.788
0.198,0.064,0.738
0.074,0.124,0.802
0.135,0.188,0.677
0.172,0.049,0.779
0.192,0.193,0.615
0.193,0.131,0.676
0.182,0.167,0.651
0.122,0.188,0.69
0.138,0.139,0.723
0.16,0.157,0.683
0.189,0.138,0.673
0.144,0.162,0.694
0.052,0.178,0.77
0.105,0.127,0.768
0.021,0.076,0.903
0.122,0.169,0.709
0.046,0.055,0.899
0.042,0.192,0.766
0.115,0.059,0.826
0.187,0.112,0.701
0.113,0.062,0.825
0.131,0.206,0.663
0.072,0.158,0.77
0.098,0.063,0.839
0.061,0.184,0.755
0.207,0.137,0.656
0.117,0.15,0.733
0.157,0.063,0.78
0.167,0.104,0.729
0.06,0.069,0.871
0.137,0.043,0.82
0.194,0.055,0.751
0.121,0.091,0.788
0.117,0.113,0.77
0.143,0.068,0.789
0.187,0.208,0.605
0.056,0.126,0.818
0.165,0.199,0.636
0.029,0.175,0.796
0.169,0.152,0.679
0.055,0.21,0.735
0.168,0.203,0.629
0.139,0.174,0.687
0.042,0.059,0.899
0.05,0.21,0.74
0.042,0.076,0.882
0.065,0.132,0.803
0.076,0.107,0.817
0.17,0.029,0.801
0.026,0.12,0.854
0.068,0.201,0.731
0.08,0.06,0.86
0.019,0.184,0.797
0.166,0.047,0.787
0.173,0.057,0.77
0.138,0.139,0.723
0.121,0.182,0.697
0.145,0.061,0.794
0.151,0.03,0.819
0.106,0.144,0.75
0.053,0.021,0.926
0.135,0.185,0.68
0.047,0.141,0.812
0.193,0.116,0.691
0.141,0.06,0.799
0.111,0.054,0.835
0.175,0.097,0.728
0.147,0.102,0.751
0.107,0.112,0.781
0.166,0.204,0.63
0.11,0.151,0.739
0.054,0.035,0.911
0.124,0.083,0.793
0.024,0.128,0.848
0.198,0.143,0.659
0.114,0.083,0.803
0.051,0.025,0.924
0.078,0.105,0.817
0.084,0.052,0.864
0.14,0.043,0.817
0.073,0.089,0.838
0.058,0.208,0.734
0.112,0.172,0.716
0.139,0.036,0.825
0.207,0.154,0.639
0.173,0.068,0.759
0.155,0.085,0.76
0.173,0.091,0.736
0.176,0.032,0.792
0.162,0.141,0.697
0.161,0.053,0.786
0.124,0.05,0.826
0.031,0.123,0.846
0.179,0.028,0.793
0.113,0.106,0.781
0.146,0.14,0.714
0.05,0.158,0.792
0.185,0.132,0.683
0.048,0.111,0.841
0.117,0.079,0.804
0.107,0.092,0.801
0.155,0.11,0.735
0.052,0.175,0.773
0.067,0.203,0.73
0.142,0.22,0.638
0.09,0.075,0.835
0.051,0.07,0.879
0.078,0.029,0.893
0.188,0.215,0.597
0.047,0.102,0.851
0.099,0.152,0.749
0.187,0.141,0.672
0.038,0.051,0.911
0.168,0.108,0.724
0.163,0.061,0.776
0.138,0.132,0.73
0.08,0.015,0.905
0.065,0.046,0.889
0.087,0.06,0.853
0.173,0.106,0.721
0.09,0.102,0.808
0.131,0.102,0.767
0.192,0.201,0.607
0.097,0.121,0.782
0.189,0.068,0.743
0.035,0.211,0.754
0.201,0.128,0.671
0.143,0.177,0.68
0.169,0.032,0.799
0.16,0.043,0.797
0.035,0.17,0.795
0.208,0.064,0.728
0.092,0.193,0.715
0.069,0.096,0.835
0.175,0.084,0.741
0.104,0.092,0.804
0.025,0.085,0.89
0.193,0.123,0.684
0.055,0.023,0.922
0.105,0.084,0.811
0.12,0.056,0.824
0.032,0.173,0.795
0.073,0.14,0.787
0.142,0.114,0.744
0.058,0.152,0.79
0.065,0.179,0.756
0.111,0.051,0.838
0.076,0.209,0.715
0.074,0.023,0.903
0.083,0.21,0.707
0.219,0.129,0.652
0.034,0.062,0.904
0.119,0.187,0.694
0.164,0.027,0.809
0.046,0.102,0.852
0.121,0.169,0.71
0.084,0.057,0.859
0.066,0.147,0.787
0.043,0.214,0.743
0.031,0.206,0.763
0.197,0.028,0.775
0.085,0.199,0.716
0.177,0.055,0.768
0.151,0.141,0.708
0.159,0.187,0.654
0.03,0.032,0.938
0.018,0.099,0.883
0.07,0.16,0.77
0.162,0.161,0.677
0.098,0.137,0.765
0.105,0.167,0.728
0.202,0.066,0.732
0.14,0.205,0.655
0.043,0.147,0.81
0.122,0.065,0.813
0.144,0.034,0.822
0.05,0.056,0.894
0.051,0.055,0.894
0.106,0.055,0.839
0.033,0.025,0.942
0.127,0.149,0.724
0.102,0.169,0.729
0.096,0.183,0.721
0.183,0.158,0.659
0.07,0.195,0.735
0.207,0.191,0.602
0.017,0.05,0.933
0.034,0.062,0.904
0.063,0.215,0.722
0.119,0.197,0.684
0.189,0.147,0.664
0.016,0.057,0.927
0.159,0.131,0.71
0.138,0.065,0.797
0.028,0.012,0.96
0.165,0.083,0.752
0.021,0.22,0.759
0.208,0.081,0.711
0.033,0.083,0.884
0.137,0.125,0.738
0.192,0.216,0.592
0.079,0.017,0.904
0.053,0.089,0.858
0.054,0.115,0.831
0.186,0.09,0.724
0.2,0.186,0.614
0.202,0.204,0.594
0.044,0.029,0.927
0.034,0.169,0.797
0.215,0.092,0.693
0.101,0.195,0.704
0.127,0.069,0.804
0.13,0.174,0.696
0.177,0.089,0.734
0.194,0.061,0.745
0.159,0.189,0.652
0.156,0.052,0.792
0.019,0.192,0.789
0.204,0.075,0.721
0.203,0.103,0.694
0.05,0.149,0.801
0.176,0.082,0.742
0.174,0.113,0.713
0.053,0.108,0.839
0.068,0.023,0.909
0.058,0.051,0.891
0.15,0.088,0.762
0.173,0.154,0.673
0.147,0.159,0.694
0.153,0.077,0.77
0.161,0.22,0.619
0.103,0.183,0.714
0.11,0.142,0.748
0.048,0.143,0.809
0.065,0.147,0.788
0.089,0.094,0.817
0.075,0.066,0.859
0.027,0.057,0.916
0.167,0.115,0.718
0.147,0.164,0.689
0.1,0.195,0.705
0.028,0.111,0.861
0.133,0.177,0.69
0.125,0.122,0.753
0.141,0.064,0.795
0.128,0.037,0.835
0.214,0.091,0.695
0.038,0.158,0.804
0.146,0.041,0.813
0.176,0.063,0.761
0.175,0.075,0.75
0.196,0.208,0.596
0.038,0.073,0.889
0.127,0.11,0.763
0.082,0.035,0.883
0.191,0.114,0.695
0.023,0.143,0.834
0.149,0.087,0.764
0.059,0.032,0.909
0.049,0.146,0.805
0.053,0.085,0.862
0.106,0.207,0.687
0.189,0.019,0.792
0.04,0.073,0.887
0.162,0.071,0.767
0.05,0.217,0.733
0.029,0.072,0.899
0.14,0.094,0.766
0.209,0.144,0.647
0.163,0.133,0.704
0.06,0.153,0.787
0.144,0.043,0.813
0.056,0.032,0.912
0.206,0.058,0.736
0.038,0.079,0.883
0.098,0.096,0.806
0.158,0.044,0.798
0.173,0.2,0.627
0.095,0.08,0.825
0.096,0.016,0.888
0.18,0.093,0.727
0.155,0.2,0.645
0.028,0.085,0.887
0.066,0.172,0.762
0.114,0.215,0.671
0.187,0.157,0.656
0.103,0.023,0.874
0.089,0.081,0.83
0.182,0.104,0.714
0.021,0.05,0.929
0.119,0.138,0.743
0.077,0.077,0.846
0.204,0.144,0.652
0.095,0.019,0.886
0.156,0.169,0.675
0.173,0.219,0.608
0.042,0.184,0.774
0.089,0.079,0.832
0.076,0.119,0.805
0.15,0.129,0.721
0.039,0.025,0.936
0.067,0.166,0.767
0.061,0.108,0.831
0.193,0.138,0.669
0.176,0.139,0.685
0.191,0.184,0.625
0.054,0.068,0.878
0.071,0.107,0.822
0.099,0.161,0.74
0.069,0.178,0.753
0.097,0.205,0.698
0.09,0.135,0.775
0.187,0.169,0.644
0.194,0.067,0.739
0.025,0.133,0.842
0.217,0.032,0.751
0.077,0.147,0.776
0.159,0.155,0.686
0.171,0.026,0.803
0.086,0.175,0.739
0.024,0.132,0.844
0.047,0.032,0.921
0.188,0.194,0.618
0.167,0.131,0.702
0.172,0.174,0.654
0.148,0.138,0.714
0.057,0.08,0.863
0.153,0.05,0.797
0.073,0.177,0.75
0.135,0.06,0.805
0.058,0.176,0.766
0.155,0.053,0.792
0.064,0.142,0.794
0.087,0.178,0.735
0.027,0.09,0.883
0.106,0.187,0.707
0.115,0.142,0.743
0.156,0.154,0.69
0.188,0.045,0.767
0.206,0.09,0.704
0.147,0.212,0.641
0.118,0.19,0.692
0.139,0.07,0.791
0.11,0.178,0.712
0.18,0.059,0.761
0.067,0.039,0.894
0.15,0.06,0.79
0.04,0.194,0.766
0.028,0.056,0.916
0.022,0.163,0.815
0.138,0.025,0.837
0.153,0.158,0.689
0.164,0.091,0.745
0.219,0.061,0.72
0.038,0.154,0.808
0.052,0.117,0.831
0.172,0.024,0.804
0.023,0.11,0.867
0.204,0.031,0.765
0.077,0.059,0.864
0.129,0.174,0.697
0.014,0.077,0.909
0.186,0.202,0.612
0.153,0.177,0.67
0.126,0.092,0.782
0.11,0.095,0.795
0.14,0.113,0.747
0.125,0.099,0.776
0.212,0.119,0.669
0.172,0.188,0.64
0.081,0.092,0.827
0.154,0.148,0.698
0.08,0.156,0.764
0.118,0.144,0.738
0.189,0.05,0.761
0.112,0.176,0.712
0.095,0.109,0.796
0.059,0.132,0.809
0.136,0.029,0.835
0.166,0.073,0.761
0.031,0.08,0.889
0.091,0.116,0.793
0.106,0.133,0.761
0.14,0.198,0.662
0.185,0.176,0.639
0.092,0.183,0.725
0.174,0.205,0.621
0.051,0.094,0.855
0.06,0.076,0.864
0.077,0.084,0.839
0.045,0.134,0.821
0.147,0.175,0.678
0.146,0.192,0.662
0.204,0.21,0.586
0.068,0.065,0.867
0.042,0.155,0.803
0.071,0.074,0.855
0.157,0.085,0.758
0.115,0.204,0.681
0.152,0.05,0.798
0.056,0.14,0.804
0.159,0.119,0.722
0.068,0.022,0.91
0.083,0.077,0.84
0.124,0.182,0.694
0.1,0.209,0.691
0.055,0.053,0.892
0.188,0.141,0.671
0.215,0.207,0.578
0.192,0.194,0.614
0.074,0.025,0.901
0.174,0.05,0.776
0.102,0.166,0.732
0.093,0.023,0.884
0.141,0.183,0.676
0.115,0.131,0.754
0.204,0.054,0.742
0.151,0.086,0.763
0.037,0.081,0.882
0.025,0.138,0.837
0.208,0.194,0.598
0.18,0.05,0.77
0.159,0.187,0.654
0.111,0.128,0.761
0.118,0.035,0.847
0.128,0.103,0.769
0.171,0.188,0.641
0.109,0.163,0.728
0.156,0.129,0.715
0.179,0.044,0.777
0.072,0.022,0.906
0.042,0.176,0.782
0.049,0.125,0.826
0.181,0.143,0.676
0.038,0.101,0.861
0.135,0.082,0.783
0.2,0.124,0.676
0.12,0.05,0.83
0.123,0.142,0.735
0.202,0.187,0.611
0.117,0.085,0.798
0.089,0.131,0.78
0.031,0.058,0.911
0.013,0.212,0.775
0.199,0.047,0.754
0.135,0.142,0.723
0.129,0.058,0.813
0.134,0.134,0.732
0.212,0.158,0.63
0.116,0.104,0.78
0.159,0.033,0.808
0.193,0.075,0.732
0.202,0.031,0.767
0.032,0.195,0.773
0.15,0.08,0.77
0.162,0.151,0.687
0.122,0.183,0.695
0.03,0.05,0.92
0.161,0.09,0.749
0.057,0.111,0.832
0.072,0.071,0.857
0.214,0.103,0.683
0.071,0.202,0.727
0.086,0.093,0.821
0.16,0.088,0.752
0.059,0.089,0.852
0.115,0.188,0.697
0.058,0.109,0.833
0.037,0.111,0.852
0.049,0.045,0.906
0.139,0.02,0.841
0.162,0.035,0.803
0.105,0.146,0.749
0.036,0.191,0.773
0.036,0.018,0.946
0.148,0.174,0.678
0.107,0.159,0.734
0.109,0.049,0.842
0.133,0.119,0.748
0.037,0.214,0.749
0.17,0.093,0.737
0.122,0.15,0.728
0.064,0.179,0.757
0.089,0.2,0.711
